customer_id,sex,customer_age,tenure,age_group,tenure_group,total_baskets,total_items,avg_basket_size,distinct_products,last_basket_date,days_since_last_basket
9798859,MALE,44.0,93,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11413563,MALE,36.0,65,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
818195,MALE,35.0,129,35-44,,0.0,0.0,0.0,0.0,,-1.0
12049009,MALE,33.0,58,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10083045,MALE,42.0,88,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11248447,MALE,37.0,68,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
819721,MALE,46.0,129,45+,,0.0,0.0,0.0,0.0,,-1.0
4713723,MALE,35.0,115,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11141669,MALE,36.0,69,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
10844015,MALE,37.0,73,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
5012539,MALE,35.0,114,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11351893,MALE,34.0,66,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
4815027,MALE,33.0,115,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
11320883,MALE,42.0,67,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
4306642,MALE,33.0,117,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10387447,MALE,25.0,82,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
831271,FEMALE,38.0,129,35-44,,0.0,0.0,0.0,0.0,,-1.0
10373559,MALE,35.0,82,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11350661,FEMALE,24.0,66,<25,lang,0.0,0.0,0.0,0.0,,-1.0
12030403,MALE,28.0,58,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
11884019,MALE,40.0,60,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
10991309,MALE,28.0,71,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10880401,MALE,34.0,73,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
11328737,FEMALE,41.0,66,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
10395444,MALE,29.0,81,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
12282545,MALE,36.0,56,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
593411,MALE,37.0,130,35-44,,0.0,0.0,0.0,0.0,,-1.0
844249,MALE,36.0,129,35-44,,0.0,0.0,0.0,0.0,,-1.0
12417929,FEMALE,35.0,54,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
10284169,MALE,41.0,84,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11073237,MALE,28.0,70,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
11158301,MALE,41.0,69,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
10189011,FEMALE,39.0,86,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
10205839,FEMALE,34.0,86,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
9485175,FEMALE,31.0,96,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
5267955,FEMALE,38.0,113,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
9421181,MALE,29.0,97,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10862663,MALE,28.0,73,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10176271,FEMALE,43.0,86,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
4754393,MALE,35.0,115,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
8904609,MALE,37.0,100,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11158413,MALE,28.0,69,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10055269,MALE,124.0,88,,lang,0.0,0.0,0.0,0.0,,-1.0
11769275,MALE,30.0,61,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
11474477,MALE,34.0,64,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
8015317,MALE,31.0,105,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10597419,MALE,34.0,77,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10717273,MALE,27.0,75,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
8209943,MALE,29.0,104,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
12150957,MALE,26.0,57,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10905489,MALE,31.0,72,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10599729,FEMALE,30.0,77,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10597671,MALE,31.0,77,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
860990,FEMALE,38.0,129,35-44,,0.0,0.0,0.0,0.0,,-1.0
11622037,FEMALE,34.0,63,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
8768879,MALE,37.0,101,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
8686965,MALE,38.0,101,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
12324641,MALE,33.0,55,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
4327911,MALE,29.0,117,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
4690133,FEMALE,32.0,115,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
12278147,MALE,42.0,56,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
11896087,MALE,35.0,60,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
9585247,MALE,30.0,95,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
4291119,MALE,40.0,117,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
12389433,MALE,35.0,54,35-44,lang,0.0,0.0,0.0,0.0,,-1.0
12180511,FEMALE,34.0,57,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
11009271,MALE,121.0,71,,lang,0.0,0.0,0.0,0.0,,-1.0
11887183,MALE,34.0,60,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
10054681,MALE,29.0,88,25-34,lang,0.0,0.0,0.0,0.0,,-1.0
